dataset,variable,type,is_labelled,n_labels,variable_label,n_missing,pct_missing,n_unique
bh,HH1,numeric,FALSE,0,Numéro de Grappe,0,0,500
bh,HH2,numeric,FALSE,0,Numéro de ménage,0,0,22
bh,LN,numeric,FALSE,0,Numéro de ligne,0,0,11
bh,BHLN,numeric,FALSE,0,Numéro de ligne de l'historique des naissances,0,0,10
bh,WM1,numeric,FALSE,0,Numéro de grappe,0,0,500
bh,WM2,numeric,FALSE,0,Numéro de ménage,0,0,22
bh,WM3,numeric,FALSE,0,Numéro de ligne de la femme,0,0,11
bh,WMINT,numeric,FALSE,0,Numéro d'enqueteur,0,0,131
bh,BH0,numeric,FALSE,0,Numéro de ligne,0,0,10
bh,BH2,haven_labelled,TRUE,3,Jumeaux,0,0,2
bh,BH3,haven_labelled,TRUE,3,Sexe de l'enfant,0,0,2
bh,BH4D,haven_labelled,TRUE,2,Date de naissance,0,0,34
bh,BH4M,haven_labelled,TRUE,14,Le mois de naissance,0,0,15
bh,BH4Y,haven_labelled,TRUE,1,Année de naissance,0,0,36
bh,BH5,haven_labelled,TRUE,2,Toujours en vie,0,0,2
bh,BH6,haven_labelled,TRUE,1,Âge de l'enfant,183,1.94,35
bh,BH7,haven_labelled,TRUE,2,Habiter avec le répondant,183,1.94,3
bh,BH8,haven_labelled,TRUE,1,Numéro de ligne de l'enfant dans le ménage,183,1.94,16
bh,BH9U,haven_labelled,TRUE,4,Âge au décès (unités),9232,98.06,4
bh,BH9N,haven_labelled,TRUE,1,Âge au décès (nombre),9232,98.06,22
bh,BH10,haven_labelled,TRUE,3,Tout autre entre les naissances,0,0,2
bh,BH4C,numeric,FALSE,0,Date de naissance de l'enfant (CMC),0,0,374
bh,BH4F,haven_labelled,TRUE,8,Indicateur de date pour BH4C,0,0,6
bh,BH9C,numeric,FALSE,0,Âge au décès en mois (imputé),9232,98.06,26
bh,BH9F,haven_labelled,TRUE,9,Indicateur de date pour BH9C,9232,98.06,3
bh,HH4,numeric,FALSE,0,Numéro chef d'équipe,0,0,24
bh,HH6,haven_labelled,TRUE,2,Milieu de résidence,0,0,2
bh,HH7,haven_labelled,TRUE,7,Region,0,0,7
bh,WDOI,numeric,FALSE,0,Date d’entretien avec la femme (CMC),0,0,1
bh,WDOB,numeric,FALSE,0,Date de naissance de la femme (CMC),0,0,338
bh,welevel,haven_labelled,TRUE,5,Education,0,0,4
bh,insurance,haven_labelled,TRUE,3,Assurance santé,0,0,3
bh,disability,haven_labelled,TRUE,2,Difficultés fonctionnelles (âge 18-49 ans),0,0,2
bh,brthord,haven_labelled,TRUE,4,Ordre de naissance,0,0,4
bh,magebrt,haven_labelled,TRUE,3,Âge de la mère à la naissance,0,0,3
bh,birthint,haven_labelled,TRUE,5,Intervalle de naissance précédent,0,0,5
bh,wmweight,numeric,FALSE,0,Poids de l'échantillon de la femme,0,0,90
bh,wscore,numeric,FALSE,0,Score de richesse combiné,0,0,3570
bh,windex5,haven_labelled,TRUE,5,Quintile de l’indice de richesse,0,0,5
bh,windex10,haven_labelled,TRUE,10,Décile de l’indice de richesse,0,0,10
bh,wscoreu,numeric,FALSE,0,Score de richesse urbaine,3907,41.5,2174
bh,windex5u,haven_labelled,TRUE,5,Quintile de l’indice de richesse urbaine,3907,41.5,6
bh,windex10u,haven_labelled,TRUE,10,Décile de l’indice de richesse urbaine,3907,41.5,11
bh,wscorer,numeric,FALSE,0,Score de richesse rurale,5508,58.5,1398
bh,windex5r,haven_labelled,TRUE,5,Quintile de l’indice de richesse rurale,5508,58.5,6
bh,windex10r,haven_labelled,TRUE,10,Décile de l’indice de richesse rurale,5508,58.5,11
bh,PSU,numeric,FALSE,0,Unité d'échantillonnage primaire,0,0,500
bh,stratum,numeric,FALSE,0,Strate,0,0,46
ch,HH1,numeric,FALSE,0,Numéro de Grappe,0,0,472
ch,HH2,numeric,FALSE,0,Numéro de ménage,0,0,22
ch,LN,numeric,FALSE,0,Numéro de ligne,0,0,13
ch,UF1,numeric,FALSE,0,Numéro de grappe,0,0,472
ch,UF2,numeric,FALSE,0,Numéro de ménage,0,0,22
ch,UF3,numeric,FALSE,0,Numéro de ligne de l'enfant,0,0,13
ch,UFINT,numeric,FALSE,0,Numéro d'enqueteur,0,0,129
ch,UF4,numeric,FALSE,0,Numéro de ligne de la mère / gardien(ne),0,0,11
ch,UF5,numeric,FALSE,0,Numéro de l’enquêtrice,0,0,129
