dataset,variable,type,n_missing,pct_missing,n_unique
hh,hh1,numeric,0,0,500
hh,hh2,numeric,0,0,22
hh,hh3,numeric,0,0,138
hh,hh4,numeric,0,0,24
hh,hh5d,numeric,0,0,31
hh,hh5m,numeric,0,0,3
hh,hh5y,numeric,0,0,1
hh,hh6,numeric,0,0,2
hh,hh7,numeric,0,0,7
hh,hh8,numeric,0,0,2
hh,hh9,numeric,0,0,2
hh,hh10,numeric,0,0,2
hh,hh11h,numeric,0,0,20
hh,hh11m,numeric,0,0,60
hh,hh12,numeric,0,0,2
hh,hh46,numeric,0,0,8
hh,hh13h,numeric,2063,18.75,21
hh,hh13m,numeric,2063,18.75,61
hh,hh14,numeric,2063,18.75,3
hh,hh15,numeric,2063,18.75,4
hh,hh16,numeric,2063,18.75,4
hh,hh17,numeric,2063,18.75,4
hh,hh26a,numeric,7194,65.4,6
hh,hh26b,numeric,7194,65.4,11
hh,hh26c,numeric,7194,65.4,14
hh,hh33x_01,logical,11000,100,1
hh,hh33x_02,numeric,10966,99.69,3
hh,hh33x_03,numeric,10744,97.67,3
hh,hh33x_04,numeric,10754,97.76,3
hh,hh33x_05,numeric,10844,98.58,3
hh,hh33x_06,numeric,10931,99.37,3
hh,hh33x_07,logical,10987,99.88,2
hh,hh33x_08,logical,10995,99.95,2
hh,hh33x_09,logical,10999,99.99,2
hh,hh33x_10,logical,11000,100,1
hh,hh33x_11,logical,11000,100,1
hh,hh33x_12,logical,11000,100,1
hh,hh33x_13,logical,11000,100,1
hh,hh33x_14,logical,11000,100,1
hh,hh33x_15,logical,11000,100,1
hh,hh33x_16,logical,11000,100,1
hh,hh33x_17,logical,11000,100,1
hh,hh33x_18,logical,11000,100,1
hh,hh33x_19,logical,11000,100,1
hh,hh33x_20,logical,11000,100,1
hh,hh33x_21,logical,11000,100,1
hh,hh33x_22,logical,11000,100,1
hh,hh33x_23,logical,11000,100,1
hh,hh33x_24,logical,11000,100,1
hh,hh33x_25,logical,11000,100,1
hh,hh33x_26,logical,11000,100,1
hh,hh33x_27,logical,11000,100,1
hh,hh33x_28,logical,11000,100,1
hh,hh33x_29,logical,11000,100,1
hh,hh33x_30,logical,11000,100,1
hh,hh33x_31,logical,11000,100,1
hh,hh33x_32,logical,11000,100,1
hh,hh33x_33,logical,11000,100,1
hh,hh33x_34,logical,11000,100,1
hh,hh33x_35,logical,11000,100,1
hh,hh33x_36,logical,11000,100,1
hh,hh33x_37,logical,11000,100,1
hh,hh33x_38,logical,11000,100,1
hh,hh33x_39,logical,11000,100,1
hh,hh33x_40,logical,11000,100,1
hh,hh33x_41,logical,11000,100,1
hh,hh33x_42,logical,11000,100,1
hh,hh33x_43,logical,11000,100,1
hh,hh33x_44,logical,11000,100,1
hh,hh33x_45,logical,11000,100,1
hh,hh33x_46,logical,11000,100,1
hh,hh33x_47,logical,11000,100,1
hh,hh33x_48,logical,11000,100,1
hh,hh33x_49,logical,11000,100,1
hh,hh33x_50,logical,11000,100,1
hh,hh33,numeric,10262,93.29,4
hh,hh39x_01,logical,11000,100,1
hh,hh39x_02,logical,10996,99.96,2
hh,hh39x_03,numeric,10937,99.43,3
hh,hh39x_04,numeric,10941,99.46,3
hh,hh39x_05,numeric,10964,99.67,3
hh,hh39x_06,numeric,10990,99.91,3
hh,hh39x_07,logical,11000,100,1
hh,hh39x_08,logical,10998,99.98,2
hh,hh39x_09,logical,11000,100,1
hh,hh39x_10,logical,11000,100,1
hh,hh39x_11,numeric,10999,99.99,2
hh,hh39x_12,logical,11000,100,1
hh,hh39x_13,logical,11000,100,1
hh,hh39x_14,logical,11000,100,1
hh,hh39x_15,logical,11000,100,1
hh,hh39x_16,logical,11000,100,1
hh,hh39x_17,logical,11000,100,1
hh,hh39x_18,logical,11000,100,1
hh,hh39x_19,logical,11000,100,1
hh,hh39x_20,logical,11000,100,1
hh,hh39x_21,logical,11000,100,1
hh,hh39x_22,logical,11000,100,1
hh,hh39x_23,logical,11000,100,1
hh,hh39x_24,logical,11000,100,1
hh,hh39x_25,logical,11000,100,1
hh,hh39x_26,logical,11000,100,1
hh,hh39x_27,logical,11000,100,1
hh,hh39x_28,logical,11000,100,1
hh,hh39x_29,logical,11000,100,1
hh,hh39x_30,logical,11000,100,1
hh,hh39x_31,logical,11000,100,1
hh,hh39x_32,logical,11000,100,1
hh,hh39x_33,logical,11000,100,1
hh,hh39x_34,logical,11000,100,1
hh,hh39x_35,logical,11000,100,1
hh,hh39x_36,logical,11000,100,1
hh,hh39x_37,logical,11000,100,1
hh,hh39x_38,logical,11000,100,1
hh,hh39x_39,logical,11000,100,1
hh,hh39x_40,logical,11000,100,1
hh,hh39x_41,logical,11000,100,1
hh,hh39x_42,logical,11000,100,1
hh,hh39x_43,logical,11000,100,1
hh,hh39x_44,logical,11000,100,1
hh,hh39x_45,logical,11000,100,1
hh,hh39x_46,logical,11000,100,1
hh,hh39x_47,logical,11000,100,1
hh,hh39x_48,logical,11000,100,1
hh,hh39x_49,logical,11000,100,1
hh,hh39x_50,logical,11000,100,1
hh,hh39,numeric,10838,98.53,4
hh,hh44,logical,9405,85.5,2
hh,hh44a,numeric,2063,18.75,3
hh,hh44b,numeric,3592,32.65,3
hh,hh44c,numeric,5805,52.77,3
hh,hh44d,numeric,6257,56.88,2
hh,hh44f_p1,numeric,6257,56.88,2
hh,hh44f_p2,numeric,10766,97.87,2
hh,hh44f_p3,numeric,10948,99.53,2
hh,hh44i_p1,numeric,6257,56.88,3
hh,hh44i_p2,numeric,10766,97.87,3
hh,hh44i_p3,logical,11000,100,1
hh,hh47,numeric,2063,18.75,12
hh,hh48,numeric,2063,18.75,14
hh,hh49,numeric,2063,18.75,9
hh,hh50,numeric,2063,18.75,8
hh,hh50a,numeric,2063,18.75,8
hh,hh51,numeric,2063,18.75,5
hh,hh52,numeric,2063,18.75,9
hh,hh52a,numeric,2063,18.75,3
hh,hh53,numeric,2063,18.75,8
hh,hh54,numeric,2063,18.75,7
hh,hh55,numeric,2063,18.75,5
hh,hh56,numeric,2063,18.75,3
hh,introhl,numeric,2063,18.75,2
hh,hhaux,numeric,2063,18.75,2
hh,hhwq,logical,9392,85.38,2
hh,hhfin,numeric,2063,18.75,2
hh,hc3,numeric,2063,18.75,17
hh,hc4,numeric,2063,18.75,10
hh,hc5,numeric,2063,18.75,16
hh,hc6,numeric,2063,18.75,15
hh,hc7a,numeric,2063,18.75,4
hh,hc7b,numeric,2063,18.75,4
hh,hc8,numeric,2063,18.75,5
hh,hc9a,numeric,2096,19.05,4
hh,hc9b,numeric,2096,19.05,4
hh,hc9c,numeric,2096,19.05,4
hh,hc9d,numeric,2096,19.05,4
hh,hc9e,numeric,2096,19.05,4
hh,hc9f,numeric,2096,19.05,4
hh,hc10b,numeric,2063,18.75,4
hh,hc10c,numeric,2063,18.75,4
hh,hc10d,numeric,2063,18.75,4
hh,hc10e,numeric,2063,18.75,4
hh,hc10f,numeric,2063,18.75,4
hh,hc11,numeric,2063,18.75,4
hh,hc12,numeric,2063,18.75,4
hh,hc13,numeric,2063,18.75,4
hh,hc14,numeric,2063,18.75,7
hh,hc15,numeric,2063,18.75,4
hh,hc16,numeric,9027,82.06,35
hh,hc17,numeric,2063,18.75,4
hh,hc18a,numeric,9490,86.27,18
hh,hc18b,numeric,9490,86.27,31
hh,hc18c,numeric,9490,86.27,12
hh,hc18d,numeric,9490,86.27,22
hh,hc18e,numeric,9490,86.27,37
hh,hc18f,numeric,9490,86.27,31
hh,hc18x,numeric,9490,86.27,17
hh,hc19,numeric,2063,18.75,4
hh,st2_1,numeric,2063,18.75,4
hh,st2_2,numeric,2063,18.75,4
hh,st2_3,numeric,2740,24.91,4
hh,st2_4,numeric,2063,18.75,4
hh,st2_5,numeric,2063,18.75,4
hh,st2_6,numeric,2063,18.75,4
hh,st3_1,numeric,3313,30.12,5
hh,st3_2,numeric,4273,38.85,5
hh,st3_3,numeric,4409,40.08,5
hh,st3_4,numeric,6607,60.06,5
hh,st3_5,numeric,7792,70.84,5
hh,st3_6,numeric,8676,78.87,5
hh,st3a_1,numeric,10179,92.54,3
hh,st3a_2,numeric,10845,98.59,3
hh,st3a_3,numeric,9835,89.41,3
hh,st3a_4,logical,11000,100,1
hh,st3a_5,logical,11000,100,1
hh,st3a_6,logical,11000,100,1
hh,st3b_1,numeric,10712,97.38,4
hh,st3b_2,numeric,10938,99.44,4
hh,st3b_3,numeric,10261,93.28,4
hh,st3b_4,logical,11000,100,1
hh,st3b_5,logical,11000,100,1
hh,st3b_6,logical,11000,100,1
hh,st3b1a_1,numeric,10922,99.29,5
hh,st3b1a_2,numeric,10990,99.91,2
hh,st3b1a_3,numeric,10758,97.8,5
hh,st3b1a_4,logical,11000,100,1
hh,st3b1a_5,logical,11000,100,1
hh,st3b1a_6,logical,11000,100,1
hh,st3b1b_1,numeric,10922,99.29,7
