dataset,variable,value,label
bh,BH2,1,SINGULIER
bh,BH2,2,MULTIPLE
bh,BH2,9,NON REPONSE
bh,BH3,1,GARSON
bh,BH3,2,FiILLE
bh,BH3,9,NON REPONSE
bh,BH4D,98,NSP
bh,BH4D,99,NON REPONSE
bh,BH4M,1,JANVIER
bh,BH4M,2,FÉVRIER
bh,BH4M,3,MARS
bh,BH4M,4,AVRIL
bh,BH4M,5,MAI
bh,BH4M,6,JUIN
bh,BH4M,7,JUILLET
bh,BH4M,8,AOUT
bh,BH4M,9,SEPTEMBRE
bh,BH4M,10,OCTOBRE
bh,BH4M,11,NOVEMBER
bh,BH4M,12,DECEMBRE
bh,BH4M,98,NSP
bh,BH4M,99,NON REPONSE
bh,BH4Y,9999,NON REPONSE
bh,BH5,1,OUI
bh,BH5,2,NON
bh,BH6,99,NON REPONSE
bh,BH7,1,OUI
bh,BH7,2,NON
bh,BH8,0,PAS LISTE
bh,BH9U,1,JOURS
bh,BH9U,2,MOIS
bh,BH9U,3,ANNEES
bh,BH9U,9,NSP / NON REPONSE
bh,BH9N,99,NON REPONSE
bh,BH10,1,OUI
bh,BH10,2,NON
bh,BH10,9,NON REPONSE
bh,BH4F,1,Month and year
bh,BH4F,2,Month and age -y imp
bh,BH4F,3,Year and age - m imp
bh,BH4F,4,Y & age - y ignored
bh,BH4F,5,"Year - a, m imp"
bh,BH4F,6,"Age - y, m imp"
bh,BH4F,7,"Month - a, y imp"
bh,BH4F,8,None - all imp
bh,BH9F,0,No flag
bh,BH9F,1,> interview
bh,BH9F,2,< breastfeeding
bh,BH9F,3,< age supplemented
bh,BH9F,4,< first breastfed
bh,BH9F,5,< last vaccination
bh,BH9F,6,Outside range
bh,BH9F,7,"Imputed, units given"
bh,BH9F,8,"Imputed, no units"
bh,HH6,1,URBAIN
bh,HH6,2,RURAL
bh,HH7,1,DISTRICT TUNIS
bh,HH7,2,NORD EST
bh,HH7,3,NORD OUEST
bh,HH7,4,CENTRE EST
bh,HH7,5,CENTRE OUEST
bh,HH7,6,SUD EST
bh,HH7,7,SUD OUEST
bh,welevel,0,Pre-primary ou Aucun
bh,welevel,1,Primaire
bh,welevel,2,Secondaire
bh,welevel,3,Supérieur
bh,welevel,9,Missing/DK
bh,insurance,1,With insurance
bh,insurance,2,Without insurance
bh,insurance,9,Missing/DK
bh,disability,1,Has functional difficulty
bh,disability,2,Has no functional difficulty
bh,brthord,1,1
bh,brthord,2,2-3
bh,brthord,3,4-6
bh,brthord,4,7+
bh,magebrt,1,<20
bh,magebrt,2,20-34
bh,magebrt,3,35+
bh,birthint,0,First birth
bh,birthint,1,<2 years
bh,birthint,2,2 years
bh,birthint,3,3 years
bh,birthint,4,4+ years
bh,windex5,1,Le plus pauvre
bh,windex5,2,Second
bh,windex5,3,Moyen
bh,windex5,4,Quatrieme
bh,windex5,5,Le plus riche
bh,windex10,1,1st decile
bh,windex10,2,2nd decile
bh,windex10,3,3rd decile
bh,windex10,4,4th decile
bh,windex10,5,5th decile
bh,windex10,6,6th decile
bh,windex10,7,7th decile
bh,windex10,8,8th decile
bh,windex10,9,9th decile
bh,windex10,10,10th decile
bh,windex5u,1,Le plus pauvre
bh,windex5u,2,Second
bh,windex5u,3,Moyen
bh,windex5u,4,Quatrieme
bh,windex5u,5,Le plus riche
bh,windex10u,1,1st decile
bh,windex10u,2,2nd decile
bh,windex10u,3,3rd decile
bh,windex10u,4,4th decile
bh,windex10u,5,5th decile
bh,windex10u,6,6th decile
bh,windex10u,7,7th decile
bh,windex10u,8,8th decile
bh,windex10u,9,9th decile
bh,windex10u,10,10th decile
bh,windex5r,1,Le plus pauvre
bh,windex5r,2,Second
bh,windex5r,3,Moyen
bh,windex5r,4,Quatrieme
bh,windex5r,5,Le plus riche
bh,windex10r,1,1st decile
bh,windex10r,2,2nd decile
bh,windex10r,3,3rd decile
bh,windex10r,4,4th decile
bh,windex10r,5,5th decile
bh,windex10r,6,6th decile
bh,windex10r,7,7th decile
bh,windex10r,8,8th decile
bh,windex10r,9,9th decile
bh,windex10r,10,10th decile
ch,UF9,1,"OUI, DEJA INTERVIEWE"
ch,UF9,2,"NON, PREMIERE INTERVIEW"
ch,UF10,1,OUI
ch,UF10,2,NON / PAS DEMANDE
ch,UF17,1,COMPLETE
ch,UF17,2,PAS A LA MAISON
ch,UF17,3,REFUSE
ch,UF17,4,PARTIELLEMENT COMPLETE
ch,UF17,5,EN INCAPACITE (préciser)
ch,UF17,6,PAS DE CONSENTEMENT D’UN ADULTE POUR MERE / GARDIEN(NE) DE 15-17 ANS
ch,UF17,96,AUTRE
ch,UF12,1,FRANÇAIS
ch,UF12,2,ARABE
